MIXED CULTURE BACTERIUM CA_GF1DD01_14
MIXED CULTURE BACTERIUM CA_GF1DD01_15
MIXED CULTURE BACTERIUM CA_GF1DD01_19
MIXED CULTURE BACTERIUM CA_GF2-3DD01_02
MIXED CULTURE BACTERIUM CA_GF2-3DD01_03
MIXED CULTURE BACTERIUM CA_GF3SD01_03
MIXED CULTURE BACTERIUM CA_GF3SD01_04
MIXED CULTURE BACTERIUM CA_GF3SD01_08
MIXED CULTURE BACTERIUM CA_GF3SD01_09
MIXED CULTURE BACTERIUM CA_GF3SD01_10
MIXED CULTURE BACTERIUM CA_GF3SD01_16
MIXED CULTURE BACTERIUM CA_GF3SD01_17
MIXED CULTURE BACTERIUM CA_GF3SD01_18
MIXED CULTURE BACTERIUM CA_GF3SD01_20
MIXED CULTURE BACTERIUM CF_GF2-3DD01_01
MIXED CULTURE BACTERIUM CF_GF3SD01_01
MIXED CULTURE BACTERIUM CF_GF3SD01_04
MIXED CULTURE BACTERIUM CF_GF3SD01_05
MIXED CULTURE BACTERIUM CF_GF3SD01_15
MIXED CULTURE BACTERIUM CF_GF3SD01_16
MIXED CULTURE BACTERIUM CF_GF3SD01_19
MIXED CULTURE BACTERIUM CF_GF3SD01_21
MIXED CULTURE BACTERIUM CF_GF3SD01_22
MIXED CULTURE BACTERIUM CY_GF1DD01_05
MIXED CULTURE BACTERIUM CY_GF1DD01_06
MIXED CULTURE BACTERIUM CY_GF1DD01_09
MIXED CULTURE BACTERIUM CY_GF1DD01_10
MIXED CULTURE BACTERIUM CY_GF1DD01_14
MIXED CULTURE BACTERIUM GE_GF1DD01_01
MIXED CULTURE BACTERIUM GE_GF1DD01_03
MIXED CULTURE BACTERIUM GE_GF1DD01_08
MIXED CULTURE BACTERIUM MN_GF3SD01_09
MIXED CULTURE BACTERIUM MN_GF3SD01_16
MIXED CULTURE BACTERIUM OX_GF3SD01_05
MIXED CULTURE BACTERIUM OX_GF3SD01_06
MIXED CULTURE BACTERIUM OX_GF3SD01_10
MIXED CULTURE BACTERIUM OX_GF3SD01_21
MIXED CULTURE BACTERIUM OX_GF3SD01_22
MIXED CULTURE BACTERIUM PE_GF1DD01_04
MIXED CULTURE BACTERIUM PE_GF1DD01_06
MIXED CULTURE BACTERIUM PE_GF1DD01_11
MIXED CULTURE BACTERIUM PE_GF1DD01_14
MIXED CULTURE BACTERIUM PE_GF2-3DD01_03
MIXED CULTURE BACTERIUM PE_GF3SD01_02
MIXED CULTURE BACTERIUM PE_GF3SD01_03
MIXED CULTURE BACTERIUM PE_GF3SD01_05
MIXED CULTURE BACTERIUM PE_GF3SD01_06
MIXED CULTURE BACTERIUM PE_GF3SD01_08
MIXED CULTURE BACTERIUM PE_GF3SD01_11
MIXED CULTURE BACTERIUM PE_GF3SD01_22
MIXED CULTURE BACTERIUM PE_GF3SD01_32
MIXED CULTURE BACTERIUM PI_GF3SD01_05
MIXED CULTURE BACTERIUM PI_GF3SD01_09
MIXED CULTURE BACTERIUM PI_GF3SD01_11
MIXED CULTURE BACTERIUM PI_GF3SD01_19
MIXED CULTURE BACTERIUM PI_GF3SD01_20
MIXED CULTURE BACTERIUM PI_GF3SD01_21
MIXED CULTURE BACTERIUM PI_GF3SD01_30
MIXED CULTURE BACTERIUM SI_GF1DD01_05
MIXED CULTURE BACTERIUM SI_GF1DD01_06
MIXED CULTURE BACTERIUM TE_GF3SD01_02
MIXED CULTURE BACTERIUM VUN, 10010
MIXED CULTURE HALOARCHAEON
MIXED CULTURE HALOARCHAEON CDI-, 271
MIXED CULTURE HALOARCHAEON CDI-, 276
MIXED CULTURE HALOARCHAEON CDII-, 272
MIXED CULTURE HALOARCHAEON CDIII-, 273
MIXED CULTURE HALOARCHAEON CLI-, 248
MIXED CULTURE HALOARCHAEON CLI-, 250
MIXED CULTURE HALOARCHAEON CLI-, 257
MIXED CULTURE HALOARCHAEON CLI-, 265
MIXED CULTURE HALOARCHAEON YE.LI-, 230
MIXED CULTURE ISOLATE
MIXED CULTURE ISOLATE KOLL11
MIXED CULTURE ISOLATE KOLL13
MIXED CULTURE ISOLATE KOLL6
MIXED CULTURE RUMINAL
MIXED CULTURE RUMINAL BACTERIUM PAD, 156
MIXED CULTURE RUMINAL BACTERIUM PAD, 160
MIXED CULTURE RUMINAL BACTERIUM PAD, 193
MIXED CULTURE RUMINAL BACTERIUM PAD, 196
MIXED CULTURE RUMINAL BACTERIUM PAD, 294
MIXED CULTURE RUMINAL BACTERIUM PAD23
MIXED CULTURE RUMINAL BACTERIUM PAD27
MIXED CULTURE RUMINAL BACTERIUM PAD71
MIXED DNA LIBRARY
MIXED EARTH
MIXED EST LIBRARIES
MIXED FUNGAL
MIXED FUNGAL DNA LIBRARIES
MIXED HETEROBASIDION ANNOSUM/PINUS SYLVESTRIS LIBRARY
MIXED IES
MIXED LIBRARIES
MIXED LIBRARY
MIXED ORDERS
MIXED ORDERS UNK
MIXED PARIDAE
MIXED PLANT MATERIAL
MIXED RAVINE
MIXED RIVERINE
MIXED RIVERINE FRINGES
MIXED SOLUTION
MIXED SPECIES
MIXED SUBTYPES
MIXED TAXA
MIXED TAXA MIXED
MIXED TAXA UNAVAILABLE
MIXED WOODLAND
MIXEDSPPAFRICA
MIXEDSPPAMERICAS
MIXEDSPPASIA
MIXEDSPPSMERICAS
MIXEDSPPSPACIFIC
N
N A
NA
NOCH UNBESTIMMT
NOT
NOT ALLOCATED
NOT APPLICABLE
NOT ASSIGNED
NOT CLASSIFIED
NOT DETERMINED
NOT FOUND
NOT GIVEN
NOT IDENTIFIED
NOT KNOWN
NOT REPORTED
NOT SPECIFIED
NOT YET CLASSIFIED
NULL
O.
ORDER
P.
PHYLUM
R.
ROOT
S.
SPEC
SPECIES
SUBSPECIES
T.
U.
UNALLOCATED
UNASSIGNED
UNBEKANNT
UNCERTAIN
UNCULTURED
UNDESIGNATED
UNDET
UNDETERMINED
UNIDENTIFIABLE
UNIDENTIFIEABLE
UNKNOWN
UNKNOWN UNKNOWN
UNNAMED ASTERACEAE
UNNAMED BACTERIUM
UNNAMED CYPERACEAE
UNNAMED LEGUME
UNNAMED LEGUMINOSAE
UNNAMED LORANTHACEAE
UNNAMED MELASTOMATACEAE
UNNAMED MYRISTICACEAE
UNNAMED ROSACEAE
UNNAMED SCHISANDRACEAE
UNNAMED THYMELAEACEAE
UNNAMED TILIACEAE
UNNAMED VOCHYSIACEAE
UNPLACED
UNPLACED CLASS
UNPLACED FAMILY
UNPLACED GENUS
UNPLACED KINGDOM
UNPLACED ORDER
UNPLACED PHYLA
UNPLACED PHYLUM
UNPLACED SPECIES
UNRANKED CLADE
UNSPECIFIED
V.
VARIETY
X.
Z.
